slug,nome,endereco,bairro,url
bar-da-aurea,Bar da Áurea,"Ladeira Ari Barroso, 20",Leme,https://comidadibuteco.com.br/buteco/bar-da-aurea/
bar-da-tati,Bar da Tati,"Pça. Serzedelo Correia, 15",Copacabana,https://comidadibuteco.com.br/buteco/bar-da-tati/
bar-do-thomaz,Bar do Thomaz,"Rua Gerônimo Serqueira, 26",Camorim,https://comidadibuteco.com.br/buteco/bar-do-thomaz/
ladeira-7-bar,Ladeira 7 Bar,"Ld. João Homem, 7",Morro da Conceição,https://comidadibuteco.com.br/buteco/ladeira-7-bar/
