slug,nome,endereco,bairro,url
xique-xique,Bar Xique Xique,"R. Rockefeller, 39",Barris,https://comidadibuteco.com.br/buteco/xique-xique/
boteco-do-gavazza,Boteco do Gavazza,"Rua Greenfield, 174",Barra,https://comidadibuteco.com.br/buteco/boteco-do-gavazza/
o-boteco-do-bocca,O Boteco do Bocca,"1ª. Travessa Luiz Tarquínio Pontes, 223",Centro,https://comidadibuteco.com.br/buteco/o-boteco-do-bocca/
oh-pirao,Oh Pirão,"R. Almiro Mario de Almeida, 34",Cabula,https://comidadibuteco.com.br/buteco/oh-pirao/
panela-de-barro,Panela de Barro,"Rua Tamoio, 0",Plataforma,https://comidadibuteco.com.br/buteco/panela-de-barro/
recanto-do-moura,Recanto do Moura,"R. Resende de Jesus, 6",São Caetano,https://comidadibuteco.com.br/buteco/recanto-do-moura/
restaurante-encantos-da-mare,Restaurante Encantos da Maré,"R. Teodósio Rodrigues de Faria, 27 - Bonfim, Salvador - BA",,https://comidadibuteco.com.br/buteco/restaurante-encantos-da-mare/
