id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
28,dobradinha-do-regis,Dobradinha do Regis,"R. Doutor Dirceu Velloso Toscano de Brito, 281",Pina,Recife,recife,2026,,,(81) 98115-6267 | (81) 3222-9511,Terça-feira: 11h – 23h | Quarta-feira: 11h – 23h | Quinta-feira: 11h – 23h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h | Domingo: 11h – 23h,dobradinha-do-regis_vem-ni-mim-toscana.jpg,"[{""nome"":""Vem ni mim, Toscana!"",""descricao"":""Toscana de cupim e de camarão com cream cheese e alho-poró. Acompanhado de geleia de pimenta."",""foto"":""dobradinha-do-regis_vem-ni-mim-toscana.jpg""}]",https://comidadibuteco.com.br/buteco/dobradinha-do-regis/
29,dona-andrea,Dona Andrea,"Rua Aliança, 1083",Apipucos,Recife,recife,2026,-8.0211959,-34.934546,81997275712,Terça-feira: 10h – 16h30 | Quarta-feira: 10h – 16h30 | Quinta-feira: 10h – 16h30 | Sexta-feira: 10h – 16h30 | Sábado: 10h – 16h30 | Domingo: 10h – 16h30,dona-andrea_caldeirada-do-buteco.jpg,"[{""nome"":""Caldeirada do buteco"",""descricao"":""Caldeirada de marisco, mexilhão, camarão, polvo, peixe e sururu com alho-poró."",""foto"":""dona-andrea_caldeirada-do-buteco.jpg""}]",https://comidadibuteco.com.br/buteco/dona-andrea/
30,eddys-bar-charcutaria-e-defumados,"Eddy’s Bar, Charcutaria e Defumados","Rua da Santa Cruz, 0",Boa Vista,Recife,recife,2026,-8.0641085,-34.8892417,81995415827,Quarta-feira: 10h – 17h | Quinta-feira: 10h – 17h | Sexta-feira: 10h – 17h | Sábado: 10h – 17h | Domingo: 10h – 17h,eddy-s-bar-charcutaria-e-defumados_par-de-trouxas.jpg,"[{""nome"":""Par de trouxas"",""descricao"":""Duas trouxas recheadas: uma com carne bovina e outra suína, com tutano e couve crispy, envoltas em pele de frango crocante e nori."",""foto"":""eddy-s-bar-charcutaria-e-defumados_par-de-trouxas.jpg""}]",https://comidadibuteco.com.br/buteco/eddys-bar-charcutaria-e-defumados/
31,emporio-coroa,Empório Coroa,"R. Severina Maria da Conceição, 400",Bultrins,Recife,recife,2026,-7.9989121,-34.915237,81998701554,Segunda-feira: 11h – 18h | Quinta-feira: 11h – 18h | Sexta-feira: 11h – 18h | Sábado: 11h – 20h | Domingo: 11h – 20h,emporio-coroa_crocamarao-mel-e-mar.jpg,"[{""nome"":""Crocamarão Mel e Mar"",""descricao"":""Camarão crocante ao alho-poró, acompanhado de molho de laranja, mel, mostarda, azeite e com o frescor do hortelã."",""foto"":""emporio-coroa_crocamarao-mel-e-mar.jpg""}]",https://comidadibuteco.com.br/buteco/emporio-coroa/
32,eskina-do-caldinho,Eskina do Caldinho,"Rua Lauro de Souza, 381",Campo Grande,Recife,recife,2026,-8.0252329,-34.875917,81996062021,Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 0h,eskina-do-caldinho_do-sertao-para-cidade.jpg,"[{""nome"":""Do Sertão para Cidade"",""descricao"":""Carne de sol cremosa ao molho gorgonzola com couve-flor e batata inglesa. Acompanha torrada caseira."",""foto"":""eskina-do-caldinho_do-sertao-para-cidade.jpg""}]",https://comidadibuteco.com.br/buteco/eskina-do-caldinho/
33,espetinho-da-ceca,Espetinho da Ceça,"Rua Chã de Alegria, 235",Bomba do Hemetério,Recife,recife,2026,-8.0200806,-34.9032692,8134490700,Terça-feira: 18h – 1h | Quarta-feira: 18h – 1h | Quinta-feira: 18h – 1h | Sexta-feira: 18h – 1h | Sábado: 18h – 1h | Domingo: 18h – 1h,espetinho-da-ceca_espetinho-gourmet-da-ceca.jpg,"[{""nome"":""Espetinho Gourmet da Ceça"",""descricao"":""Caldinho de feijão-preto com couve e charque, espetinho de carne bovina com legumes e filé de frango envolto em bacon, acompanhado de vinagrete, farofa, creme de alho e molho de mostarda com hortelã."",""foto"":""espetinho-da-ceca_espetinho-gourmet-da-ceca.jpg""}]",https://comidadibuteco.com.br/buteco/espetinho-da-ceca/
34,4090-revision-v1,Espetinho no Prato,"R. Cruzeiro do Forte, 574",Boa Viagem,Recife,recife,2026,-8.1371818,-34.9130173,81998728758,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 1h | Sexta-feira: 18h – 2h | Sábado: 18h – 2h | Domingo: 18h – 0h,espetinho-no-prato_frango-de-respeito.jpg,"[{""nome"":""Frango de Respeito"",""descricao"":""Arrumadinho de filé de peito de frango ao molho cremoso com brócolis."",""foto"":""espetinho-no-prato_frango-de-respeito.jpg""}]",https://comidadibuteco.com.br/buteco/4090-revision-v1/
35,esquina-85,Esquina 85,"Rua do Machado, 85",Arruda,Recife,recife,2026,-8.0234232,-34.889882,(81) 98839-3058,Segunda-feira: 12h – 15h30 e 17h – 22h30 | Quarta-feira: 12h – 15h30 e 17h – 22h30 | Quinta-feira: 12h – 15h30 e 17h – 22h30 | Sexta-feira: 12h – 0h | Sábado: 12h – 0h | Domingo: 12h – 21h30,esquina-85_benzadeus.jpg,"[{""nome"":""Benzadeus"",""descricao"":""Camarão envolvido em massa crocante, recheado com mix de queijos, servido com purê de mandioquinha com cream cheese, fios de cenoura e repolho roxo. Finalizado com geleia de tangerina com pimenta-dedo-de-moça."",""foto"":""esquina-85_benzadeus.jpg""}]",https://comidadibuteco.com.br/buteco/esquina-85/
36,10369-revision-v1,Esquina do Malte,"Av. Tenente Felipe Bandeira de Melo, 97 C",Areias,Recife,recife,2026,-8.0941558,-34.9307997,81998395355,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 18h – 0h | Domingo: 18h – 0h,esquina-do-malte_o-sertao-vai-virar-mar.jpg,"[{""nome"":""O Sertão vai virar Mar!"",""descricao"":""Charque desfiado e filé de camarões refogados em azeite e manteiga de garrafa com legumes, pimentões, cebola-roxa, alho-poró, tomate, pimenta-biquinho e especiarias. Acompanha: torradas especiais na manteiga de alho com parmesão."",""foto"":""esquina-do-malte_o-sertao-vai-virar-mar.jpg""}]",https://comidadibuteco.com.br/buteco/10369-revision-v1/
37,fulo-comedoria,Fulô Comedoria,"Estrada de Belém, 164",Encruzilhada,Recife,recife,2026,-8.0364566,-34.8895067,81996790442,Segunda-feira: 11h – 18h30 | Terça-feira: 11h – 18h30 | Quarta-feira: 11h – 18h30 | Quinta-feira: 11h – 21h30 | Sexta-feira: 11h – 18h30 | Sábado: 11h – 16h30,fulo-comedoria_rua-da-coragem.jpg,"[{""nome"":""Rua da Coragem"",""descricao"":""Pão baguete com carne desfiada cozida no ragu, fonduta gratinada, tomates e rúcula confit, acompanhada de molho mostarda e chips de macaxeira."",""foto"":""fulo-comedoria_rua-da-coragem.jpg""}]",https://comidadibuteco.com.br/buteco/fulo-comedoria/
