slug,nome,endereco,bairro,url
a-bodega-cachacaria,A Bodega Cachaçaria,"Av. Gov. Carlos de Lima Cavalcante, 4035 - Casa",Casa Caiada,https://comidadibuteco.com.br/buteco/a-bodega-cachacaria/
4051-revision-v1,Bar do Cabo,"R. Nanuque, 37",Brasília Teimosa,https://comidadibuteco.com.br/buteco/4051-revision-v1/
bodega-bento-muniz,Bodega Bento Muniz,"R. Manoel Salvador, 140 - Casa",Barro,https://comidadibuteco.com.br/buteco/bodega-bento-muniz/
10364-revision-v1,Caldinho do Phellipe,"Av. Poeta Vinicius de Moraes, 140",Ouro Preto,https://comidadibuteco.com.br/buteco/10364-revision-v1/
casa-de-mainha-comedoria,Casa de Mainha Comedoria,"R. Aurora Diniz Carneiro Leão, 5462",Candeias,https://comidadibuteco.com.br/buteco/casa-de-mainha-comedoria/
dobradinha-do-regis,Dobradinha do Regis,"R. Doutor Dirceu Velloso Toscano de Brito, 281",Pina,https://comidadibuteco.com.br/buteco/dobradinha-do-regis/
no-meu-quintal-comida-boa,No Meu Quintal Comida Boa,"R. Miguel Romã de Abreu e Lima, 59 - Jaboatão dos Guararapes - PE",,https://comidadibuteco.com.br/buteco/no-meu-quintal-comida-boa/
