slug,nome,endereco,bairro,url
1-poco-loco,1 Poco Loco,"Rua Eduardo Tozzi, 115",Jaguariuna,https://comidadibuteco.com.br/buteco/1-poco-loco/
bar-do-durante,Bar do Durante,"Praça Menegon, 93",Vila São José,https://comidadibuteco.com.br/buteco/bar-do-durante/
bar-du-6,Bar Du 6,"R. Dr. Buarque de Macedo, 695",Jardim Brasil,https://comidadibuteco.com.br/buteco/bar-du-6/
buteco-vida-dura,Buteco Vida Dura,"R. Pico do Itatiaia, 98",Jardim Everest,https://comidadibuteco.com.br/buteco/buteco-vida-dura/
