slug,nome,endereco,bairro,url
bar-amigos-do-ze,Bar Amigos do Zé,"Pça. Franklin Roosevelt, 92",Consolação,https://comidadibuteco.com.br/buteco/bar-amigos-do-ze/
3235-revision-v1,Bar do Berinjela,"Pça. Vinte de Janeiro, 67",Vila Regente Feijó,https://comidadibuteco.com.br/buteco/3235-revision-v1/
mena-gastrobar,Mena Gastrobar,"Pça. Ituzaingó, 42",Vila Regente Feijó,https://comidadibuteco.com.br/buteco/mena-gastrobar/
mestre-gusta-gastrobar,Mestre Gusta Gastrobar,"Pça. Comandante Eduardo de Oliveira, 20 - Comercial",Parque Edu Chaves,https://comidadibuteco.com.br/buteco/mestre-gusta-gastrobar/
senhor-petiscos,Senhor Petiscos,"R. Martinho Guedes, 19",Saúde,https://comidadibuteco.com.br/buteco/senhor-petiscos/
