slug,nome,endereco,bairro,url
10094-revision-v1,Bar do Nem,R. General Clarindo de Queiroz,Centro,https://comidadibuteco.com.br/buteco/10094-revision-v1/
sambura,Samburá,"Av. Deputado Federal Januário Feitosa, 430 - C1",Sabiaguaba,https://comidadibuteco.com.br/buteco/sambura/
spettus-muu,Spettus Muu,"Rua Padre Ambrósio Machado, 357",Vila União,https://comidadibuteco.com.br/buteco/spettus-muu/
